cc,effective_year,region_name,region_code,country_name,country_code,reporting_year,reporting_level,survey_acronym,survey_coverage,survey_year,welfare_type,survey_comparability,comparable_spell,poverty_line,headcount,poverty_gap,poverty_severity,watts,mean,median,mld,gini,polarization,decile1,decile2,decile3,decile4,decile5,decile6,decile7,decile8,decile9,decile10,cpi,ppp,reporting_pop,reporting_gdp,reporting_pce,is_interpolated,distribution_type,estimation_type
ABW,2019,"","","","",,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",""
AFG,2019,"","","","",,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",""
AGO,2019,Sub-Saharan Africa,SSA,Angola,AGO,2019,national,,,,consumption,,,2.15,0.3227,0.1259,0.0665,0.1915,5.2981,3.3057,,,,,,,,,,,,,,,107.27,32353588,2569.7017,1404.1077,TRUE,micro,extrapolation
ALB,2019,Europe & Central Asia,ECA,Albania,ALB,2019,national,,,,consumption,,,2.15,0,0,0,0,13.7498,11.6073,,,,,,,,,,,,,,,50.3574,2854191,4543.3877,3591.2926,FALSE,micro,survey
AND,2019,"","","","",,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",""
ARE,2019,Other High Income Countries,OHI,United Arab Emirates,ARE,2019,national,,,,income,,,2.15,0,0,0,0,85.9466,78.6864,,,,,,,,,,,,,,,2.8348,9211657,43785.4173,17854.9971,TRUE,group,extrapolation
ARG,2019,Latin America & Caribbean,LAC,Argentina,ARG,2019,urban,,,,income,,,2.15,0.0078,0.0032,0.0022,0.0029,26.0959,19.4754,,,,,,,,,,,,,,,10.8079,41339571,12716.2242,8271.9248,FALSE,micro,survey
ARM,2019,Europe & Central Asia,ECA,Armenia,ARM,2019,national,,,,consumption,,,2.15,0.0103,0.0012,3e-04,0.0014,7.9063,6.714,,,,,,,,,,,,,,,167.3122,2820602,4561.9678,3804.3075,FALSE,micro,survey
ASM,2019,"","","","",,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",""
ATG,2019,"","","","",,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",""
AUS,2019,Other High Income Countries,OHI,Australia,AUS,2019,national,,,,income,,,2.15,0.005,0.0041,0.0035,0.0144,63.2951,51.7803,,,,,,,,,,,,,,,1.5293,25340217,58492.2057,32073.968,TRUE,micro,extrapolation
AUT,2019,Other High Income Countries,OHI,Austria,AUT,2019,national,,,,income,,,2.15,0.0064,0.0047,0.0041,0.0137,66.1682,57.6429,,,,,,,,,,,,,,,0.8309,8879920,46647.081,23852.0657,FALSE,micro,survey
