cc,effective_year,region_name,region_code,country_name,country_code,reporting_year,reporting_level,survey_acronym,survey_coverage,survey_year,welfare_type,survey_comparability,comparable_spell,poverty_line,headcount,poverty_gap,poverty_severity,watts,mean,median,mld,gini,polarization,decile1,decile2,decile3,decile4,decile5,decile6,decile7,decile8,decile9,decile10,cpi,ppp,reporting_pop,reporting_gdp,reporting_pce,is_interpolated,distribution_type,estimation_type
MWI,2000,Sub-Saharan Africa,SSA,Malawi,MWI,2000,national,,,,consumption,,,0.99,0.1427,0.033,0.0121,0.0423,3.8212,1.7937,,,,,,,,,,,,,,,241.9305,11229387,421.8195,,TRUE,micro,interpolation
LSO,2000,Sub-Saharan Africa,SSA,Lesotho,LSO,2000,national,,,,consumption,,,0.686,0.2412,0.1061,0.0629,0.1756,3.0254,1.5968,,,,,,,,,,,,,,,5.244,1998630,727.2328,411.0805,TRUE,micro,interpolation
BEN,2000,Sub-Saharan Africa,SSA,Benin,BEN,2000,national,,,,consumption,,,0.947,0.0959,0.0201,0.0066,0.0249,2.6476,1.9799,,,,,,,,,,,,,,,219.4763,6998023,888.7302,723.4772,TRUE,micro,extrapolation
SYR,2000,Middle East & North Africa,MNA,Syrian Arab Republic,SYR,2000,national,,,,consumption,,,0.857,3e-04,0,9.3266e-06,0,7.6137,5.7969,,,,,,,,,,,,,,,151.7781,16307654,1273.7838,1729.2942,TRUE,micro,interpolation
RWA,2000,Sub-Saharan Africa,SSA,Rwanda,RWA,2000,national,,,,consumption,,,0.778,0.2164,0.0631,0.027,0.0856,2.0579,1.2808,,,,,,,,,,,,,,,293.705,8109989,337.6319,317.0587,TRUE,micro,extrapolation
BFA,2000,Sub-Saharan Africa,SSA,Burkina Faso,BFA,2000,national,,,,consumption,,,0.986,0.3142,0.0931,0.0409,0.1283,2.1436,1.3542,,,,,,,,,,,,,,,199.7414,11882888,429.8474,360.8064,TRUE,micro,interpolation
GHA,2000,Sub-Saharan Africa,SSA,Ghana,GHA,2000,national,,,,consumption,,,2.301,0.5651,0.2315,0.1242,0.3504,2.7645,2.0458,,,,,,,,,,,,,,,1.751,19665502,1020.1623,,TRUE,micro,interpolation
SLB,2000,East Asia & Pacific,EAP,Solomon Islands,SLB,2000,national,,,,consumption,,,1.27,0.2395,0.0747,0.0344,0.1051,3.2387,2.1498,,,,,,,,,,,,,,,7.7144,429978,1790.3738,,TRUE,micro,extrapolation
ZMB,2000,Sub-Saharan Africa,SSA,Zambia,ZMB,2000,national,,,,consumption,,,1.486,0.3302,0.1103,0.0516,0.1562,3.223,2.1237,,,,,,,,,,,,,,,4.2238,9891136,814.773,,TRUE,micro,interpolation
NER,2000,Sub-Saharan Africa,SSA,Niger,NER,2000,national,,,,consumption,,,0.976,0.4784,0.1728,0.0839,0.2473,1.4568,1.0175,,,,,,,,,,,,,,,245.1597,11622665,389.0775,294.1553,TRUE,micro,interpolation
CHN-R,2000,East Asia & Pacific,EAP,China,CHN,2000,rural,,,,consumption,,,0.846,0.0719,0.0112,0.0028,0.0131,2.4351,1.8763,,,,,,,,,,,,,,,3.495,809645853,2193.897,818.4512,TRUE,aggregate,interpolation
BLZ,2000,Latin America & Caribbean,LAC,Belize,BLZ,2000,national,,,,income,,,1.366,0.0982,0.0448,0.0287,0.0653,8.121,4.8217,,,,,,,,,,,,,,,1.309,240406,5693.7415,3546.9468,TRUE,micro,extrapolation
PNG,2000,East Asia & Pacific,EAP,Papua New Guinea,PNG,2000,national,,,,consumption,,,2.218,0.5841,0.2687,0.1556,0.4259,2.6739,1.8579,,,,,,,,,,,,,,,2.6999,5508297,1999.9696,,TRUE,micro,interpolation
COD,2000,Sub-Saharan Africa,SSA,"Congo, Dem. Rep.",COD,2000,national,,,,consumption,,,1.423,0.8261,0.4504,0.2877,0.7659,0.969,0.6888,,,,,,,,,,,,,,,630.6055,48616317,339.9694,288.7382,TRUE,micro,extrapolation
CIV,2000,Sub-Saharan Africa,SSA,Cote d'Ivoire,CIV,2000,national,,,,consumption,,,1.201,0.0762,0.0184,0.007,0.0241,4.1641,3.0153,,,,,,,,,,,,,,,247.1344,16799670,1809.9208,,TRUE,micro,interpolation
MAR,2000,Middle East & North Africa,MNA,Morocco,MAR,2000,national,,,,consumption,,,1.265,0.0106,0.002,6e-04,0.0025,6.8038,4.9395,,,,,,,,,,,,,,,4.2908,28554415,1948.3545,1213.3845,TRUE,micro,interpolation
TZA,2000,Sub-Saharan Africa,SSA,Tanzania,TZA,2000,national,,,,consumption,,,1.037,0.4686,0.1548,0.0713,0.2156,1.436,1.0903,,,,,,,,,,,,,,,754.6215,34463704,551.6566,424.5543,TRUE,micro,interpolation
MDG,2000,Sub-Saharan Africa,SSA,Madagascar,MDG,2000,national,,,,consumption,,,1.54,0.5379,0.2158,0.1124,0.3197,2.0637,1.4379,,,,,,,,,,,,,,,962.9596,16216431,474.139,358.5024,TRUE,micro,interpolation
FSM,2000,East Asia & Pacific,EAP,"Micronesia, Fed. Sts.",FSM,2000,national,,,,consumption,,,1.48,0.0239,0.0048,0.0015,0.0059,7.7184,5.6813,,,,,,,,,,,,,,,0.9772,111709,2796.6803,,TRUE,micro,extrapolation
IND-R,2000,South Asia,SAS,India,IND,2000,rural,,,,consumption,,,1.599,0.2325,0.0444,0.0132,0.0539,2.6354,2.1786,,,,,,,,,,,,,,,17.092,766464826,751.8408,486.1858,TRUE,micro,interpolation
MLI,2000,Sub-Saharan Africa,SSA,Mali,MLI,2000,national,,,,consumption,,,1.383,0.4961,0.183,0.0894,0.2618,1.9595,1.3774,,,,,,,,,,,,,,,205.2734,11239101,556.7724,402.8019,TRUE,micro,interpolation
