cc,effective_year,region_name,region_code,country_name,country_code,reporting_year,reporting_level,survey_acronym,survey_coverage,survey_year,welfare_type,survey_comparability,comparable_spell,poverty_line,headcount,poverty_gap,poverty_severity,watts,mean,median,mld,gini,polarization,decile1,decile2,decile3,decile4,decile5,decile6,decile7,decile8,decile9,decile10,cpi,ppp,reporting_pop,reporting_gdp,reporting_pce,is_interpolated,distribution_type,estimation_type,population,poor
ABW,2000,Other High Income Countries,LCN,Aruba,ABW,,,,,,,,,,0.00503872513993093,,,,,,,,,,,,,,,,,,,,,,,,,,regional,90000,453.485262593784
AFG,2000,South Asia,SAS,Afghanistan,AFG,,,,,,,,,,0.409733056696723,,,,,,,,,,,,,,,,,,,,,,,,,,regional,20093000,8232766.30820726
AGO,2000,Sub-Saharan Africa,SSA,Angola,AGO,2000,national,,,,consumption,,,2.15,0.2149,0.0916,0.0535,0.1514,7.3614,4.6563,,,,,,,,,,,,,,,107.27,16394062,1840.3538,,TRUE,micro,extrapolation,16441000,3533170.9
ALB,2000,Europe & Central Asia,ECA,Albania,ALB,2000,national,,,,consumption,,,2.15,0.018,0.003,9e-04,0.0037,7.0915,5.9729,,,,,,,,,,,,,,,50.3574,3089027,1960.8825,1493.4626,TRUE,micro,interpolation,3122000,56196
AND,2000,Other High Income Countries,ECS,Andorra,AND,,,,,,,,,,0.00503872513993093,,,,,,,,,,,,,,,,,,,,,,,,,,regional,65000,327.51713409551
ARE,2000,Other High Income Countries,OHI,United Arab Emirates,ARE,2000,national,,,,income,,,2.15,0,0,0,0,111.0347,99.8365,,,,,,,,,,,,,,,2.8348,3275333,59067.6035,,TRUE,group,extrapolation,3155000,0
ARG,2000,Latin America & Caribbean,LAC,Argentina,ARG,2000,urban,,,,income,,,2.15,0.0499,0.0271,0.0207,0.0209,20.1049,12.8203,,,,,,,,,,,,,,,10.8079,33045629,10672.722,6622.0475,FALSE,micro,survey,37058000,1849194.2
ARM,2000,Europe & Central Asia,ECA,Armenia,ARM,2000,national,,,,consumption,,,2.15,0.1332,0.0305,0.0105,0.0384,5.0277,3.889,,,,,,,,,,,,,,,167.3122,3168523,1249.6121,1283.5634,TRUE,micro,interpolation,3070000,408924
ASM,2000,Other High Income Countries,EAS,American Samoa,ASM,,,,,,,,,,0.00503872513993093,,,,,,,,,,,,,,,,,,,,,,,,,,regional,58000,292.246058115994
ATG,2000,Other High Income Countries,LCN,Antigua and Barbuda,ATG,,,,,,,,,,0.00503872513993093,,,,,,,,,,,,,,,,,,,,,,,,,,regional,84000,423.252911754198
AUS,2000,Other High Income Countries,OHI,Australia,AUS,2000,national,,,,income,,,2.15,0.0075,0.0062,0.0054,0.0088,42.4999,34.5777,,,,,,,,,,,,,,,1.5293,19028802,46062.3243,24371.6738,TRUE,micro,interpolation,19066000,142995
AUT,2000,Other High Income Countries,OHI,Austria,AUT,2000,national,,,,income,,,2.15,0,0,0,0,51.9758,44.8702,,,,,,,,,,,,,,,0.8309,8011566,38842.8905,21252.0136,FALSE,micro,survey,8070000,0
AZE,2000,Europe & Central Asia,ECA,Azerbaijan,AZE,2000,national,,,,consumption,,,2.15,0.0741,0.0156,0.0054,0.0199,6.1536,4.7289,,,,,,,,,,,,,,,0.487,8048600,1480.809,,TRUE,micro,interpolation,8123000,601914.3
BDI,2000,Sub-Saharan Africa,SSA,Burundi,BDI,2000,national,,,,consumption,,,2.15,0.7881,0.3858,0.232,0.6451,1.6793,1.2747,,,,,,,,,,,,,,,654.4216,6307659,310.0067,211.5453,TRUE,micro,interpolation,6401000,5044628.1
BEL,2000,Other High Income Countries,OHI,Belgium,BEL,2000,national,,,,income,,,2.15,0.0031,0.003,0.003,0.0063,54.6848,44.231,,,,,,,,,,,,,,,0.8453,10251250,35674.7913,19033.5861,FALSE,micro,survey,10282000,31874.2
BEN,2000,Sub-Saharan Africa,SSA,Benin,BEN,2000,national,,,,consumption,,,2.15,0.555,0.1967,0.0917,0.2738,2.6476,1.9799,,,,,,,,,,,,,,,219.4763,6998023,888.7302,723.4772,TRUE,micro,extrapolation,6866000,3810630
