cc,effective_year,type,region_name,region_code,country_name,country_code,reporting_year,reporting_level,survey_acronym,survey_coverage,survey_year,welfare_type,survey_comparability,comparable_spell,poverty_line,headcount,poverty_gap,poverty_severity,watts,mean,median,mld,gini,polarization,decile1,decile2,decile3,decile4,decile5,decile6,decile7,decile8,decile9,decile10,cpi,ppp,reporting_pop,reporting_gdp,reporting_pce,is_interpolated,distribution_type,estimation_type
SYR,2023,fpl_2019eq_fo_2023,Middle East & North Africa,MNA,Syrian Arab Republic,SYR,2019,national,,,,consumption,,,0.97,0.1966,0.0439,0.0146,0.0544,2.0963,1.5672,,,,,,,,,,,,,,,151.7781,20098251,781.3912,421.7236,TRUE,micro,extrapolation
TLS,2023,fpl_2019eq_fo_2023,East Asia & Pacific,EAP,Timor-Leste,TLS,2019,national,,,,consumption,,,2.17,0.224,0.0461,0.014,0.0557,3.5563,3.0072,,,,,,,,,,,,,,,0.5748,1280438,1530.8111,823.769,TRUE,micro,extrapolation
ZWE,2023,fpl_2019eq_fo_2023,Sub-Saharan Africa,SSA,Zimbabwe,ZWE,2019,national,,,,consumption,,,4.17,0.6981,0.3456,0.2058,0.5516,4.5002,2.6533,,,,,,,,,,,,,,,0.485,15354608,1342.9896,990.4512,FALSE,imputed,survey
BDI,2023,fpl_2019eq_fo_2023,Sub-Saharan Africa,SSA,Burundi,BDI,2019,national,,,,consumption,,,2.07,0.6985,0.2885,0.1496,0.424,2.0184,1.4988,,,,,,,,,,,,,,,654.4216,11874838,270.1373,207.1296,TRUE,micro,extrapolation
FJI,2023,fpl_2019eq_fo_2023,East Asia & Pacific,EAP,Fiji,FJI,2019,national,,,,consumption,,,5.84,0.38,0.1025,0.0403,0.1334,8.2387,6.8939,,,,,,,,,,,,,,,0.9859,918465,5678.9699,,TRUE,micro,interpolation
MWI,2023,fpl_2019eq_fo_2023,Sub-Saharan Africa,SSA,Malawi,MWI,2019,national,,,,consumption,,,0.97,0.2033,0.0488,0.0174,0.0616,2.138,1.5627,,,,,,,,,,,,,,,241.9305,18867337,573.4001,,TRUE,micro,interpolation
LKA,2023,fpl_2019eq_fo_2023,South Asia,SAS,Sri Lanka,LKA,2019,national,,,,consumption,,,2.73,0.0338,0.0052,0.0013,0.006,9.2485,6.913,,,,,,,,,,,,,,,55.5009,21803000,4458.4344,2776.5782,FALSE,micro,survey
PNG,2023,fpl_2019eq_fo_2023,East Asia & Pacific,EAP,Papua New Guinea,PNG,2019,national,,,,consumption,,,1.34,0.1445,0.0449,0.0191,0.0601,4.2632,3.2157,,,,,,,,,,,,,,,2.6999,9542486,2590.4942,,TRUE,micro,extrapolation
TCD,2023,fpl_2019eq_fo_2023,Sub-Saharan Africa,SSA,Chad,TCD,2019,national,,,,consumption,,,1.66,0.1665,0.0381,0.0132,0.0479,3.8111,2.878,,,,,,,,,,,,,,,237.6564,16126866,652.7032,486.454,TRUE,micro,extrapolation
TGO,2023,fpl_2019eq_fo_2023,Sub-Saharan Africa,SSA,Togo,TGO,2019,national,,,,consumption,,,2.16,0.2796,0.0836,0.0351,0.1118,4.6098,3.2489,,,,,,,,,,,,,,,246.5965,8243094,837.4929,631.6452,TRUE,micro,extrapolation
HTI,2023,fpl_2019eq_fo_2023,Latin America & Caribbean,LAC,Haiti,HTI,2019,national,,,,consumption,,,1.99,0.2229,0.069,0.0308,0.0955,4.7284,3.5677,,,,,,,,,,,,,,,31.1029,11160438,1371.707,1441.4871,TRUE,micro,extrapolation
VUT,2023,fpl_2019eq_fo_2023,East Asia & Pacific,EAP,Vanuatu,VUT,2019,national,,,,consumption,,,2,0.0764,0.0177,0.006,0.022,5.5141,4.735,,,,,,,,,,,,,,,117.3665,304404,2838.9883,1820.4999,TRUE,micro,interpolation
SLB,2023,fpl_2019eq_fo_2023,East Asia & Pacific,EAP,Solomon Islands,SLB,2019,national,,,,consumption,,,1.21,0.0526,0.0111,0.0036,0.0137,4.1749,3.2197,,,,,,,,,,,,,,,7.7144,674993,2203.9834,1397.6562,TRUE,micro,extrapolation
MOZ,2023,fpl_2019eq_fo_2023,Sub-Saharan Africa,SSA,Mozambique,MOZ,2019,national,,,,consumption,,,2.11,0.7047,0.3415,0.2045,0.565,2.3134,1.3992,,,,,,,,,,,,,,,21.988,30285595,600.4034,394.9344,TRUE,micro,interpolation
AGO,2023,fpl_2019eq_fo_2023,Sub-Saharan Africa,SSA,Angola,AGO,2019,national,,,,consumption,,,3.93,0.5782,0.277,0.168,0.461,5.2981,3.3057,,,,,,,,,,,,,,,107.27,32353588,2569.7017,1404.1077,TRUE,micro,extrapolation
SUR,2023,fpl_2019eq_fo_2023,Latin America & Caribbean,LAC,Suriname,SUR,2019,urban,,,,income,,,3.81,0.1966,0.1494,0.1324,0.0811,18.836,11.718,,,,,,,,,,,,,,,2.9343,396769,8756.1552,,TRUE,micro,extrapolation
JAM,2023,fpl_2019eq_fo_2023,Latin America & Caribbean,LAC,Jamaica,JAM,2019,national,,,,consumption,,,5.55,0.1933,0.0535,0.0218,0.071,15.4071,10.0807,,,,,,,,,,,,,,,70.3916,2813773,5307.511,4214.8787,TRUE,micro,extrapolation
NER,2023,fpl_2019eq_fo_2023,Sub-Saharan Africa,SSA,Niger,NER,2019,national,,,,consumption,,,1.29,0.1567,0.0321,0.0101,0.0392,2.876,2.1495,,,,,,,,,,,,,,,245.1597,23443393,520.9194,366.3839,TRUE,micro,extrapolation
ZAF,2023,fpl_2019eq_fo_2023,Sub-Saharan Africa,SSA,South Africa,ZAF,2019,national,,,,consumption,,,2.82,0.2991,0.1127,0.0575,0.1658,11.8975,4.7353,,,,,,,,,,,,,,,6.5494,58087055,6189.2892,4046.2205,TRUE,micro,extrapolation
GAB,2023,fpl_2019eq_fo_2023,Sub-Saharan Africa,SSA,Gabon,GAB,2019,national,,,,consumption,,,3.85,0.0955,0.0282,0.0124,0.0389,12.3368,9.6731,,,,,,,,,,,,,,,319.1603,2242785,6893.3231,2506.3412,TRUE,micro,extrapolation
STP,2023,fpl_2019eq_fo_2023,Sub-Saharan Africa,SSA,Sao Tome and Principe,STP,2019,national,,,,consumption,,,1.89,0.0998,0.0244,0.0093,0.0317,5.5713,4.0826,,,,,,,,,,,,,,,11.4289,214599,1676.3963,,TRUE,micro,extrapolation
LBN,2023,fpl_2019eq_fo_2023,Middle East & North Africa,MNA,Lebanon,LBN,2019,national,,,,consumption,,,7.53,0.0233,0.0043,0.0011,0.0051,29.6548,25.157,,,,,,,,,,,,,,,761.8333,5781907,8081.7433,7478.5607,TRUE,micro,extrapolation
KEN,2023,fpl_2019eq_fo_2023,Sub-Saharan Africa,SSA,Kenya,KEN,2019,national,,,,consumption,,,2.41,0.3866,0.115,0.0479,0.1535,3.8274,2.8933,,,,,,,,,,,,,,,41.6348,50951450,1653.829,1252.9846,TRUE,micro,interpolation
CAF,2023,fpl_2019eq_fo_2023,Sub-Saharan Africa,SSA,Central African Republic,CAF,2019,national,,,,consumption,,,2.44,0.7068,0.3434,0.2044,0.5573,2.3371,1.5808,,,,,,,,,,,,,,,306.8083,5209324,381.414,466.0255,TRUE,micro,interpolation
ZMB,2023,fpl_2019eq_fo_2023,Sub-Saharan Africa,SSA,Zambia,ZMB,2019,national,,,,consumption,,,1.35,0.4346,0.1938,0.1106,0.3083,2.9806,1.6115,,,,,,,,,,,,,,,4.2238,18380477,1310.6222,,TRUE,micro,extrapolation
TZA,2023,fpl_2019eq_fo_2023,Sub-Saharan Africa,SSA,Tanzania,TZA,2019,national,,,,consumption,,,1.55,0.2172,0.05,0.017,0.0624,3.3884,2.397,,,,,,,,,,,,,,,754.6215,59872579,1038.7363,601.2591,TRUE,micro,extrapolation
GMB,2023,fpl_2019eq_fo_2023,Sub-Saharan Africa,SSA,"Gambia, The",GMB,2019,national,,,,consumption,,,2.26,0.1719,0.0442,0.0171,0.0574,5.2721,3.99,,,,,,,,,,,,,,,15.1142,2508883,668.6351,563.8173,TRUE,micro,interpolation
GIN,2023,fpl_2019eq_fo_2023,Sub-Saharan Africa,SSA,Guinea,GIN,2019,national,,,,consumption,,,2.8,0.28,0.0689,0.0257,0.0886,4.4625,3.8585,,,,,,,,,,,,,,,3446.9322,12877539,937.7031,718.613,TRUE,micro,extrapolation
RWA,2023,fpl_2019eq_fo_2023,Sub-Saharan Africa,SSA,Rwanda,RWA,2019,national,,,,consumption,,,1.24,0.1443,0.0337,0.012,0.0427,3.5058,2.3553,,,,,,,,,,,,,,,293.705,12835028,871.1099,652.0701,TRUE,micro,extrapolation
YEM,2023,fpl_2019eq_fo_2023,Middle East & North Africa,MNA,"Yemen, Rep.",YEM,2019,national,,,,consumption,,,2.33,0.6323,0.2356,0.1133,0.3328,2.499,1.9128,,,,,,,,,,,,,,,255.6836,31546691,1182.5071,,TRUE,micro,extrapolation
UGA,2023,fpl_2019eq_fo_2023,Sub-Saharan Africa,SSA,Uganda,UGA,2019,national,,,,consumption,,,1.64,0.256,0.0705,0.0283,0.0934,3.556,2.487,,,,,,,,,,,,,,,1221.0876,42949080,920.0716,679.3153,TRUE,micro,interpolation
IRN,2023,fpl_2019eq_fo_2023,Middle East & North Africa,MNA,"Iran, Islamic Rep.",IRN,2019,national,,,,consumption,,,4.23,0.0859,0.0213,0.008,0.0275,14.5719,10.5939,,,,,,,,,,,,,,,13944.9043,86564202,5059.8794,2530.2857,TRUE,micro,interpolation
EGY,2023,fpl_2019eq_fo_2023,Middle East & North Africa,MNA,"Egypt, Arab Rep.",EGY,2019,national,,,,consumption,,,3.64,0.1953,0.0385,0.0119,0.0471,6.5445,5.2538,,,,,,,,,,,,,,,4.8435,105618671,3802.41,2958.1693,TRUE,micro,interpolation
MEX,2023,fpl_2019eq_fo_2023,Latin America & Caribbean,LAC,Mexico,MEX,2019,national,,,,income,,,4.35,0.1326,0.0415,0.0194,0.058,14.6424,9.85,,,,,,,,,,,,,,,9.8615,125085311,10013.7243,6747.1179,TRUE,micro,interpolation
