cc,effective_year,region_name,region_code,country_name,country_code,reporting_year,reporting_level,survey_acronym,survey_coverage,survey_year,welfare_type,survey_comparability,comparable_spell,poverty_line,headcount,poverty_gap,poverty_severity,watts,mean,median,mld,gini,polarization,decile1,decile2,decile3,decile4,decile5,decile6,decile7,decile8,decile9,decile10,cpi,ppp,reporting_pop,reporting_gdp,reporting_pce,is_interpolated,distribution_type,estimation_type
MWI,2000,Sub-Saharan Africa,SSA,Malawi,MWI,2000,national,,,,consumption,,,0.99,0.1298,0.0305,0.0117,0.0399,4.0048,,,,,,,,,,,,,,,,241.9305,11148751,294.3439,,TRUE,micro,interpolation
LSO,2000,Sub-Saharan Africa,SSA,Lesotho,LSO,2000,national,,,,consumption,,,0.686,0.2457,0.1079,0.0641,0.1789,2.9573,,,,,,,,,,,,,,,,5.244,2032805,715.0085,404.1705,TRUE,micro,interpolation
BEN,2000,Sub-Saharan Africa,SSA,Benin,BEN,2000,national,,,,consumption,,,0.947,0.0958,0.0201,0.0066,0.0249,2.6497,2.0626,0.2464,0.3858,0.3157,0.0286,0.0412,0.0503,0.0588,0.0693,0.0806,0.0947,0.1145,0.1509,0.3112,,219.4763,6865946,905.8263,737.3944,TRUE,micro,extrapolation
SYR,2000,Middle East & North Africa,MNA,Syrian Arab Republic,SYR,2000,national,,,,consumption,,,0.857,3e-04,0,9.72e-06,1e-04,7.5273,,,,,,,,,,,,,,,,151.7781,16410847,1254.5984,1780,TRUE,micro,interpolation
RWA,2000,Sub-Saharan Africa,SSA,Rwanda,RWA,2000,national,,,,consumption,,,0.778,0.2127,0.0617,0.0264,0.0837,2.0765,1.3152,0.4021,0.4855,0.3819,0.0199,0.032,0.0402,0.0485,0.0572,0.0685,0.0823,0.1021,0.1412,0.408,,293.705,7933688,344.94,323.9036,TRUE,micro,extrapolation
BFA,2000,Sub-Saharan Africa,SSA,Burkina Faso,BFA,2000,national,,,,consumption,,,0.986,0.314,0.0929,0.0408,0.1281,2.145,,,,,,,,,,,,,,,,199.7414,11607951,440.0284,369.3522,TRUE,micro,interpolation
GHA,2000,Sub-Saharan Africa,SSA,Ghana,GHA,2000,national,,,,consumption,,,2.301,0.5832,0.2426,0.1314,0.3694,2.6748,,,,,,,,,,,,,,,,1.751,19278850,1040.6341,,TRUE,micro,interpolation
SLB,2000,East Asia & Pacific,EAP,Solomon Islands,SLB,2000,national,,,,consumption,,,1.27,0.2205,0.0686,0.0314,0.0963,3.3656,2.131,0.3659,0.461,0.4151,0.0185,0.0312,0.0405,0.05,0.0603,0.0727,0.0902,0.1161,0.1629,0.3575,,7.7144,412665,1939.0745,,TRUE,micro,extrapolation
ZMB,2000,Sub-Saharan Africa,SSA,Zambia,ZMB,2000,national,,,,consumption,,,1.486,0.334,0.1118,0.0523,0.1583,3.2087,,,,,,,,,,,,,,,,4.2238,10415942,773.7207,,TRUE,micro,interpolation
NER,2000,Sub-Saharan Africa,SSA,Niger,NER,2000,national,,,,consumption,,,0.976,0.4784,0.173,0.0841,0.2478,1.4591,,,,,,,,,,,,,,,,245.1597,11331561,399.0728,301.6459,TRUE,micro,interpolation
CHN-R,2000,East Asia & Pacific,EAP,China,CHN,2000,rural,,,,consumption,,,0.846,0.0719,0.0112,0.0028,0.0131,2.4351,,,,,,,,,,,,,,,,3.495,809645853,2193.893,818.4497,TRUE,aggregate,interpolation
BLZ,2000,Latin America & Caribbean,LAC,Belize,BLZ,2000,national,,,,income,,,1.366,0.0868,0.0416,0.0266,0.0595,8.687,4.9221,0.5293,0.5326,0.4815,0.0093,0.0228,0.034,0.0429,0.0534,0.0666,0.0846,0.1095,0.1525,0.4244,,1.309,247310,4278.0169,3272.0319,TRUE,micro,extrapolation
PNG,2000,East Asia & Pacific,EAP,Papua New Guinea,PNG,2000,national,,,,consumption,,,2.218,0.5807,0.2658,0.1525,0.4188,2.666,,,,,,,,,,,,,,,,2.6999,5847590,1883.9339,,TRUE,micro,interpolation
CIV,2000,Sub-Saharan Africa,SSA,Cote d'Ivoire,CIV,2000,national,,,,consumption,,,1.201,0.0762,0.0184,0.007,0.0241,4.1589,,,,,,,,,,,,,,,,247.1344,16454660,1847.87,,TRUE,micro,interpolation
MAR,2000,Middle East & North Africa,MNA,Morocco,MAR,2000,national,,,,consumption,,,1.265,0.0105,0.002,6e-04,0.0024,6.8043,,,,,,,,,,,,,,,,4.2908,28793672,1763.4007,1075.4796,TRUE,micro,interpolation
TZA,2000,Sub-Saharan Africa,SSA,Tanzania,TZA,2000,national,,,,consumption,,,1.037,0.4687,0.1549,0.0713,0.2157,1.436,,,,,,,,,,,,,,,,754.6215,33499177,567.5402,441.9752,TRUE,micro,interpolation
MDG,2000,Sub-Saharan Africa,SSA,Madagascar,MDG,2000,national,,,,consumption,,,1.54,0.5379,0.2158,0.1124,0.3198,2.0635,,,,,,,,,,,,,,,,962.9596,15766806,487.6601,368.7259,TRUE,micro,interpolation
FSM,2000,East Asia & Pacific,EAP,"Micronesia, Fed. Sts.",FSM,2000,national,,,,consumption,,,1.48,0.0239,0.0049,0.0015,0.006,7.6857,5.882,0.3033,0.4236,0.3699,0.022,0.0336,0.0437,0.0541,0.067,0.0794,0.0947,0.1187,0.1619,0.3248,,0.9772,107405,2911.9503,,TRUE,micro,extrapolation
IND-R,2000,South Asia,SAS,India,IND,2000,rural,,,,consumption,,,1.599,0.2326,0.0445,0.0133,0.054,2.6348,,,,,,,,,,,,,,,,17.092,764252791,753.9163,487.5277,TRUE,micro,interpolation
MLI,2000,Sub-Saharan Africa,SSA,Mali,MLI,2000,national,,,,consumption,,,1.383,0.5131,0.1894,0.0932,0.272,1.9203,,,,,,,,,,,,,,,,205.2734,10946448,571.6577,413.5708,TRUE,micro,interpolation
IND-U,2000,South Asia,SAS,India,IND,2000,urban,,,,consumption,,,1.606,0.1247,0.024,0.0073,0.0295,3.8809,,,,,,,,,,,,,,,,20.7873,292322757,753.9163,487.5277,TRUE,micro,interpolation
NGA,2000,Sub-Saharan Africa,SSA,Nigeria,NGA,2000,national,,,,consumption,,,1.384,0.38,0.1455,0.0763,0.2185,2.6095,,,,,,,,,,,,,,,,123.6724,122283853,1450.7838,935.6322,TRUE,micro,interpolation
NAM,2000,Sub-Saharan Africa,SSA,Namibia,NAM,2000,national,,,,consumption,,,1.29,0.176,0.0518,0.0223,0.0706,6.3582,2.9056,0.7225,0.6332,0.629,0.0115,0.0187,0.0241,0.0294,0.0361,0.045,0.0597,0.0854,0.1422,0.5479,,6.8983,1794583,3124.9504,1673.9711,TRUE,micro,extrapolation
CHN-U,2000,East Asia & Pacific,EAP,China,CHN,2000,urban,,,,consumption,,,1.029,0.0062,0.0018,0.0011,0.0018,5.087,,,,,,,,,,,,,,,,4.3185,452999147,2193.893,818.4497,TRUE,aggregate,interpolation
UGA,2000,Sub-Saharan Africa,SSA,Uganda,UGA,2000,national,,,,consumption,,,1.281,0.3884,0.1237,0.0554,0.1704,2.2336,,,,,,,,,,,,,,,,1221.0876,23650159,521.8934,421.5466,TRUE,micro,interpolation
SEN,2000,Sub-Saharan Africa,SSA,Senegal,SEN,2000,national,,,,consumption,,,1.331,0.2356,0.059,0.0214,0.0751,2.8954,,,,,,,,,,,,,,,,238.5777,9797731,1066.6216,789.2466,TRUE,mixed,interpolation
TCD,2000,Sub-Saharan Africa,SSA,Chad,TCD,2000,national,,,,consumption,,,1.71,0.5679,0.2265,0.1154,0.3321,2.026,1.8461,0.2677,0.3982,0.3613,0.0246,0.0383,0.0474,0.0569,0.0673,0.0815,0.0985,0.1207,0.1577,0.3071,,237.6564,8355654,374.9696,,TRUE,micro,extrapolation
